file	line	before	after
src\app\calendar\page.tsx	187	  const filteredEvents = useMemo(() => {	  const _filteredEvents = useMemo(() => {
src\app\companies\[id]\edit\page.tsx	9	import { Card, CardContent, CardHeader, CardTitle } from '@/components/ui/card';	import { Card as _Card, CardContent, CardHeader, CardTitle } from '@/components/ui/card';
src\app\companies\[id]\edit\page.tsx	9	import { Card as _Card, CardContent, CardHeader, CardTitle } from '@/components/ui/card';	import { Card as _Card, CardContent as _CardContent, CardHeader, CardTitle } from '@/components/ui/card';
src\app\companies\[id]\edit\page.tsx	9	import { Card as _Card, CardContent as _CardContent, CardHeader, CardTitle } from '@/components/ui/card';	import { Card as _Card, CardContent as _CardContent, CardHeader as _CardHeader, CardTitle } from '@/components/ui/card';
src\app\companies\[id]\edit\page.tsx	9	import { Card as _Card, CardContent as _CardContent, CardHeader as _CardHeader, CardTitle } from '@/components/ui/card';	import { Card as _Card, CardContent as _CardContent, CardHeader as _CardHeader, CardTitle as _CardTitle } from '@/components/ui/card';
src\app\companies\[id]\page.tsx	23	import { Progress } from '@/components/ui/progress';	import { Progress as _Progress } from '@/components/ui/progress';
src\app\companies\[id]\page.tsx	47	  Building2,	  Building2 as _Building2,
src\app\companies\[id]\page.tsx	49	  Phone,	  Phone as _Phone,
src\app\companies\[id]\page.tsx	50	  Mail,	  Mail as _Mail,
src\app\companies\[id]\page.tsx	52	  Calendar,	  Calendar as _Calendar,
src\app\companies\[id]\page.tsx	170	    } catch (error) {	    } catch (_error) {
src\app\companies\[id]\page.tsx	191	    } catch (error) {	    } catch (_error) {
src\app\companies\create\page.tsx	9	import { Card, CardContent, CardHeader, CardTitle } from '@/components/ui/card';	import { Card as _Card, CardContent, CardHeader, CardTitle } from '@/components/ui/card';
src\app\companies\create\page.tsx	9	import { Card as _Card, CardContent, CardHeader, CardTitle } from '@/components/ui/card';	import { Card as _Card, CardContent as _CardContent, CardHeader, CardTitle } from '@/components/ui/card';
src\app\companies\create\page.tsx	9	import { Card as _Card, CardContent as _CardContent, CardHeader, CardTitle } from '@/components/ui/card';	import { Card as _Card, CardContent as _CardContent, CardHeader as _CardHeader, CardTitle } from '@/components/ui/card';
src\app\companies\create\page.tsx	9	import { Card as _Card, CardContent as _CardContent, CardHeader as _CardHeader, CardTitle } from '@/components/ui/card';	import { Card as _Card, CardContent as _CardContent, CardHeader as _CardHeader, CardTitle as _CardTitle } from '@/components/ui/card';
src\app\companies\create\page.tsx	11	import { ArrowLeft, Loader2 } from 'lucide-react';	import { ArrowLeft, Loader2 as _Loader2 } from 'lucide-react';
src\app\companies\page.tsx	11	import { Card, CardContent, CardDescription, CardHeader, CardTitle } from '@/components/ui/card';	import { Card, CardContent, CardDescription, CardHeader, CardTitle as _CardTitle } from '@/components/ui/card';
src\app\costs\page.tsx	36	  DollarSign,	  DollarSign as _DollarSign,
src\app\costs\page.tsx	38	  TrendingDown,	  TrendingDown as _TrendingDown,
src\app\costs\page.tsx	40	  Calendar,	  Calendar as _Calendar,
src\app\costs\page.tsx	45	  Clock,	  Clock as _Clock,
src\app\dashboard\page.tsx	26	  FileText,	  FileText as _FileText,
src\app\dashboard\page.tsx	31	  Users,	  Users as _Users,
src\app\dashboard\page.tsx	82	const COLORS = ['#0088FE', '#00C49F', '#FFBB28', '#FF8042', '#8884D8'];	const _COLORS = ['#0088FE', '#00C49F', '#FFBB28', '#FF8042', '#8884D8'];
src\app\e-sign\page.tsx	4	import Link from 'next/link';	import _Link from 'next/link';
src\app\files\page.tsx	38	  FileText,	  FileText as _FileText,
src\app\files\page.tsx	48	  FILE_CATEGORY_LABELS,	  FILE_CATEGORY_LABELS as _FILE_CATEGORY_LABELS,
src\app\files\page.tsx	49	  FileCategoryType,	  FileCategoryType as _FileCategoryType,
src\app\frameworks\page.tsx	8	import { Card, CardContent, CardHeader, CardTitle, CardDescription } from '@/components/ui/card';	import { Card as _Card, CardContent, CardHeader, CardTitle, CardDescription } from '@/components/ui/card';
src\app\frameworks\page.tsx	8	import { Card as _Card, CardContent, CardHeader, CardTitle, CardDescription } from '@/components/ui/card';	import { Card as _Card, CardContent as _CardContent, CardHeader, CardTitle, CardDescription } from '@/components/ui/card';
src\app\frameworks\page.tsx	8	import { Card as _Card, CardContent as _CardContent, CardHeader, CardTitle, CardDescription } from '@/components/ui/card';	import { Card as _Card, CardContent as _CardContent, CardHeader as _CardHeader, CardTitle, CardDescription } from '@/components/ui/card';
src\app\frameworks\page.tsx	8	import { Card as _Card, CardContent as _CardContent, CardHeader as _CardHeader, CardTitle, CardDescription } from '@/components/ui/card';	import { Card as _Card, CardContent as _CardContent, CardHeader as _CardHeader, CardTitle as _CardTitle, CardDescription } from '@/components/ui/card';
src\app\frameworks\page.tsx	8	import { Card as _Card, CardContent as _CardContent, CardHeader as _CardHeader, CardTitle as _CardTitle, CardDescription } from '@/components/ui/card';	import { Card as _Card, CardContent as _CardContent, CardHeader as _CardHeader, CardTitle as _CardTitle, CardDescription as _CardDescription } from '@/components/ui/card';
src\app\frameworks\page.tsx	33	import { Tabs, TabsContent, TabsList, TabsTrigger } from '@/components/ui/tabs';	import { Tabs as _Tabs, TabsContent, TabsList, TabsTrigger } from '@/components/ui/tabs';
src\app\frameworks\page.tsx	33	import { Tabs as _Tabs, TabsContent, TabsList, TabsTrigger } from '@/components/ui/tabs';	import { Tabs as _Tabs, TabsContent as _TabsContent, TabsList, TabsTrigger } from '@/components/ui/tabs';
src\app\frameworks\page.tsx	33	import { Tabs as _Tabs, TabsContent as _TabsContent, TabsList, TabsTrigger } from '@/components/ui/tabs';	import { Tabs as _Tabs, TabsContent as _TabsContent, TabsList as _TabsList, TabsTrigger } from '@/components/ui/tabs';
src\app\frameworks\page.tsx	33	import { Tabs as _Tabs, TabsContent as _TabsContent, TabsList as _TabsList, TabsTrigger } from '@/components/ui/tabs';	import { Tabs as _Tabs, TabsContent as _TabsContent, TabsList as _TabsList, TabsTrigger as _TabsTrigger } from '@/components/ui/tabs';
src\app\frameworks\page.tsx	56	  FolderOpen,	  FolderOpen as _FolderOpen,
src\app\frameworks\page.tsx	58	  ChevronDown,	  ChevronDown as _ChevronDown,
src\app\frameworks\page.tsx	59	  CheckCircle2,	  CheckCircle2 as _CheckCircle2,
src\app\frameworks\page.tsx	61	  Upload,	  Upload as _Upload,
src\app\frameworks\page.tsx	62	  Download,	  Download as _Download,
src\app\frameworks\page.tsx	64	  Layers,	  Layers as _Layers,
src\app\frameworks\page.tsx	66	  Copy,	  Copy as _Copy,
src\app\frameworks\page.tsx	67	  Eye,	  Eye as _Eye,
src\app\frameworks\page.tsx	70	  Palette,	  Palette as _Palette,
src\app\frameworks\page.tsx	137	  const router = useRouter();	  const _router = useRouter();
src\app\frameworks\page.tsx	146	  const [activeTab, setActiveTab] = useState(searchParams.get('tab') || 'list');	  const [_activeTab, setActiveTab] = useState(searchParams.get('tab') || 'list');
src\app\frameworks\page.tsx	146	  const [_activeTab, setActiveTab] = useState(searchParams.get('tab') || 'list');	  const [_activeTab, _setActiveTab] = useState(searchParams.get('tab') || 'list');
src\app\gantt\page.tsx	22	  Calendar,	  Calendar as _Calendar,
src\app\gantt\page.tsx	29	  Settings,	  Settings as _Settings,
src\app\gantt\page.tsx	33	import { toast } from 'sonner';	import { toast as _toast } from 'sonner';
src\app\gantt\page.tsx	501	                {tasks.map((task, index) => {	                {tasks.map((task, _index) => {
src\app\guarantees\[id]\page.tsx	33	  Calendar,	  Calendar as _Calendar,
src\app\guarantees\[id]\page.tsx	35	  FileText,	  FileText as _FileText,
src\app\guarantees\[id]\page.tsx	38	  Clock,	  Clock as _Clock,
src\app\guarantees\[id]\page.tsx	39	  CheckCircle,	  CheckCircle as _CheckCircle,
src\app\guarantees\[id]\page.tsx	40	  XCircle,	  XCircle as _XCircle,
src\app\guarantees\[id]\page.tsx	43	  Banknote,	  Banknote as _Banknote,
src\app\guarantees\page.tsx	43	  Calendar,	  Calendar as _Calendar,
src\app\guarantees\page.tsx	44	  Building2,	  Building2 as _Building2,
src\app\guarantees\page.tsx	45	  FileText,	  FileText as _FileText,
src\app\image\generate\page.tsx	63	  const [style, setStyle] = useState('简洁商务');	  const [style, _setStyle] = useState('简洁商务');
src\app\image\generate\page.tsx	82	    } catch (error) {	    } catch (_error) {
src\app\image\library\page.tsx	6	import { Card, CardContent, CardHeader, CardTitle } from '@/components/ui/card';	import { Card, CardContent, CardHeader as _CardHeader, CardTitle } from '@/components/ui/card';
src\app\image\library\page.tsx	6	import { Card, CardContent, CardHeader as _CardHeader, CardTitle } from '@/components/ui/card';	import { Card, CardContent, CardHeader as _CardHeader, CardTitle as _CardTitle } from '@/components/ui/card';
src\app\interpretations\[id]\page.tsx	7	import { Card, CardContent, CardHeader, CardTitle, CardDescription } from '@/components/ui/card';	import { Card, CardContent, CardHeader, CardTitle, CardDescription as _CardDescription } from '@/components/ui/card';
src\app\interpretations\[id]\page.tsx	22	  FileText,	  FileText as _FileText,
src\app\interpretations\[id]\page.tsx	24	  Building,	  Building as _Building,
src\app\interpretations\[id]\page.tsx	34	  Phone,	  Phone as _Phone,
src\app\interpretations\[id]\page.tsx	35	  Mail,	  Mail as _Mail,
src\app\interpretations\[id]\page.tsx	36	  Users,	  Users as _Users,
src\app\interpretations\[id]\page.tsx	38	  DollarSign,	  DollarSign as _DollarSign,
src\app\interpretations\[id]\page.tsx	264	  const formatFileSize = (bytes: number | null) => {	  const _formatFileSize = (bytes: number | null) => {
src\app\interpretations\page.tsx	8	import { Card, CardContent, CardHeader, CardTitle } from '@/components/ui/card';	import { Card, CardContent, CardHeader as _CardHeader, CardTitle } from '@/components/ui/card';
src\app\interpretations\page.tsx	8	import { Card, CardContent, CardHeader as _CardHeader, CardTitle } from '@/components/ui/card';	import { Card, CardContent, CardHeader as _CardHeader, CardTitle as _CardTitle } from '@/components/ui/card';
src\app\interpretations\page.tsx	10	import { Tabs, TabsContent, TabsList, TabsTrigger } from '@/components/ui/tabs';	import { Tabs as _Tabs, TabsContent, TabsList, TabsTrigger } from '@/components/ui/tabs';
src\app\interpretations\page.tsx	10	import { Tabs as _Tabs, TabsContent, TabsList, TabsTrigger } from '@/components/ui/tabs';	import { Tabs as _Tabs, TabsContent as _TabsContent, TabsList, TabsTrigger } from '@/components/ui/tabs';
src\app\interpretations\page.tsx	10	import { Tabs as _Tabs, TabsContent as _TabsContent, TabsList, TabsTrigger } from '@/components/ui/tabs';	import { Tabs as _Tabs, TabsContent as _TabsContent, TabsList as _TabsList, TabsTrigger } from '@/components/ui/tabs';
src\app\interpretations\page.tsx	10	import { Tabs as _Tabs, TabsContent as _TabsContent, TabsList as _TabsList, TabsTrigger } from '@/components/ui/tabs';	import { Tabs as _Tabs, TabsContent as _TabsContent, TabsList as _TabsList, TabsTrigger as _TabsTrigger } from '@/components/ui/tabs';
src\app\interpretations\page.tsx	87	  const router = useRouter();	  const _router = useRouter();
src\app\interpretations\page.tsx	173	      } catch (error) {	      } catch (_error) {
src\app\interpretations\upload\page.tsx	6	import { Card, CardContent, CardHeader, CardTitle, CardDescription } from '@/components/ui/card';	import { Card, CardContent, CardHeader, CardTitle, CardDescription as _CardDescription } from '@/components/ui/card';
src\app\knowledge\approval\page.tsx	26	  MessageSquare,	  MessageSquare as _MessageSquare,
src\app\knowledge\approval\page.tsx	27	  AlertCircle,	  AlertCircle as _AlertCircle,
src\app\knowledge\page.tsx	51	  Calendar,	  Calendar as _Calendar,
src\app\llm\chat\page.tsx	20	  Plus,	  Plus as _Plus,
src\app\llm\chat\page.tsx	21	  Trash2,	  Trash2 as _Trash2,
src\app\llm\chat\page.tsx	57	interface Conversation {	interface _Conversation {
src\app\llm\models\page.tsx	8	import { Card, CardContent, CardHeader, CardTitle } from '@/components/ui/card';	import { Card, CardContent, CardHeader as _CardHeader, CardTitle } from '@/components/ui/card';
src\app\llm\models\page.tsx	8	import { Card, CardContent, CardHeader as _CardHeader, CardTitle } from '@/components/ui/card';	import { Card, CardContent, CardHeader as _CardHeader, CardTitle as _CardTitle } from '@/components/ui/card';
src\app\llm\page.tsx	26	import { Tabs, TabsContent, TabsList, TabsTrigger } from '@/components/ui/tabs';	import { Tabs as _Tabs, TabsContent, TabsList, TabsTrigger } from '@/components/ui/tabs';
src\app\llm\page.tsx	26	import { Tabs as _Tabs, TabsContent, TabsList, TabsTrigger } from '@/components/ui/tabs';	import { Tabs as _Tabs, TabsContent as _TabsContent, TabsList, TabsTrigger } from '@/components/ui/tabs';
src\app\llm\page.tsx	26	import { Tabs as _Tabs, TabsContent as _TabsContent, TabsList, TabsTrigger } from '@/components/ui/tabs';	import { Tabs as _Tabs, TabsContent as _TabsContent, TabsList as _TabsList, TabsTrigger } from '@/components/ui/tabs';
src\app\llm\page.tsx	26	import { Tabs as _Tabs, TabsContent as _TabsContent, TabsList as _TabsList, TabsTrigger } from '@/components/ui/tabs';	import { Tabs as _Tabs, TabsContent as _TabsContent, TabsList as _TabsList, TabsTrigger as _TabsTrigger } from '@/components/ui/tabs';
src\app\llm\page.tsx	31	  Settings,	  Settings as _Settings,
src\app\llm\page.tsx	38	  Copy,	  Copy as _Copy,
src\app\llm\page.tsx	40	  BookOpen,	  BookOpen as _BookOpen,
src\app\llm\usage\page.tsx	24	  BarChart3,	  BarChart3 as _BarChart3,
src\app\llm\usage\page.tsx	33	  Cpu,	  Cpu as _Cpu,
src\app\login\page.tsx	49	    } catch (err) {	    } catch (_err) {
src\app\mobile\approval\page.tsx	6	import { Card, CardContent, CardDescription, CardHeader, CardTitle } from '@/components/ui/card';	import { Card, CardContent, CardDescription as _CardDescription, CardHeader, CardTitle } from '@/components/ui/card';
src\app\mobile\approval\page.tsx	23	  XCircle,	  XCircle as _XCircle,
src\app\mobile\approval\page.tsx	26	  Calendar,	  Calendar as _Calendar,
src\app\mobile\approval\page.tsx	31	  MessageSquare,	  MessageSquare as _MessageSquare,
src\app\mobile\approval\page.tsx	32	  Send,	  Send as _Send,
src\app\monitoring\page.tsx	20	  TrendingDown,	  TrendingDown as _TrendingDown,
src\app\notifications\page.tsx	5	import { Card, CardContent, CardHeader, CardTitle } from '@/components/ui/card';	import { Card, CardContent, CardHeader as _CardHeader, CardTitle } from '@/components/ui/card';
src\app\notifications\page.tsx	5	import { Card, CardContent, CardHeader as _CardHeader, CardTitle } from '@/components/ui/card';	import { Card, CardContent, CardHeader as _CardHeader, CardTitle as _CardTitle } from '@/components/ui/card';
src\app\notifications\page.tsx	17	import { ScrollArea } from '@/components/ui/scroll-area';	import { ScrollArea as _ScrollArea } from '@/components/ui/scroll-area';
src\app\notifications\page.tsx	25	  Filter,	  Filter as _Filter,
src\app\notifications\page.tsx	26	  Settings,	  Settings as _Settings,
src\app\notifications\page.tsx	32	  AlertCircle,	  AlertCircle as _AlertCircle,
src\app\openings\[id]\page.tsx	41	  MapPin,	  MapPin as _MapPin,
src\app\openings\[id]\page.tsx	44	  Clock,	  Clock as _Clock,
src\app\openings\[id]\page.tsx	45	  CheckCircle,	  CheckCircle as _CheckCircle,
src\app\openings\[id]\page.tsx	46	  XCircle,	  XCircle as _XCircle,
src\app\openings\[id]\page.tsx	47	  TrendingUp,	  TrendingUp as _TrendingUp,
src\app\openings\page.tsx	43	  MapPin,	  MapPin as _MapPin,
src\app\page.tsx	15	  AlertCircle,	  AlertCircle as _AlertCircle,
src\app\page.tsx	18	  Users,	  Users as _Users,
src\app\project-discussions\page.tsx	4	import Link from 'next/link';	import _Link from 'next/link';
src\app\project-discussions\page.tsx	38	  Users,	  Users as _Users,
src\app\project-discussions\page.tsx	39	  FileText,	  FileText as _FileText,
src\app\project-discussions\page.tsx	40	  Image,	  Image as _Image,
src\app\project-discussions\page.tsx	42	  ChevronDown,	  ChevronDown as _ChevronDown,
src\app\project-discussions\page.tsx	44	  Smile,	  Smile as _Smile,
src\app\project-discussions\page.tsx	45	  Clock,	  Clock as _Clock,
src\app\project-discussions\page.tsx	46	  Check,	  Check as _Check,
src\app\project-discussions\page.tsx	47	  X,	  X as _X,
src\app\project-org\page.tsx	8	import { Input } from '@/components/ui/input';	import { Input as _Input } from '@/components/ui/input';
src\app\project-org\page.tsx	25	  DialogTrigger,	  DialogTrigger as _DialogTrigger,
src\app\project-org\page.tsx	35	  Users,	  Users as _Users,
src\app\project-org\page.tsx	37	  Settings,	  Settings as _Settings,
src\app\project-org\page.tsx	49	  FileText,	  FileText as _FileText,
src\app\project-org\page.tsx	50	  ChevronRight,	  ChevronRight as _ChevronRight,
src\app\project-org\page.tsx	94	  const router = useRouter();	  const _router = useRouter();
src\app\project-org\page.tsx	101	  const [showTemplateDialog, setShowTemplateDialog] = useState(false);	  const [_showTemplateDialog, setShowTemplateDialog] = useState(false);
src\app\project-org\page.tsx	171	  const getTypeLabel = (type: string) => {	  const _getTypeLabel = (type: string) => {
src\app\projects\[id]\page.tsx	30	  MapPin,	  MapPin as _MapPin,
src\app\projects\[id]\page.tsx	622	                  {project.phases.map((phase, index) => (	                  {project.phases.map((phase, _index) => (
src\app\projects\kanban\page.tsx	4	import { Card, CardContent, CardHeader, CardTitle } from '@/components/ui/card';	import { Card, CardContent, CardHeader as _CardHeader, CardTitle } from '@/components/ui/card';
src\app\projects\kanban\page.tsx	4	import { Card, CardContent, CardHeader as _CardHeader, CardTitle } from '@/components/ui/card';	import { Card, CardContent, CardHeader as _CardHeader, CardTitle as _CardTitle } from '@/components/ui/card';
src\app\projects\kanban\page.tsx	17	  DropdownMenu,	  DropdownMenu as _DropdownMenu,
src\app\projects\kanban\page.tsx	18	  DropdownMenuContent,	  DropdownMenuContent as _DropdownMenuContent,
src\app\projects\kanban\page.tsx	19	  DropdownMenuItem,	  DropdownMenuItem as _DropdownMenuItem,
src\app\projects\kanban\page.tsx	20	  DropdownMenuTrigger,	  DropdownMenuTrigger as _DropdownMenuTrigger,
src\app\projects\kanban\page.tsx	25	  MoreHorizontal,	  MoreHorizontal as _MoreHorizontal,
src\app\projects\kanban\page.tsx	27	  User,	  User as _User,
src\app\projects\kanban\page.tsx	30	  LayoutGrid,	  LayoutGrid as _LayoutGrid,
src\app\projects\kanban\page.tsx	32	  Filter,	  Filter as _Filter,
src\app\projects\kanban\page.tsx	84	  const [viewMode, setViewMode] = useState<'kanban' | 'list'>('kanban');	  const [_viewMode, setViewMode] = useState<'kanban' | 'list'>('kanban');
src\app\projects\kanban\page.tsx	84	  const [_viewMode, setViewMode] = useState<'kanban' | 'list'>('kanban');	  const [_viewMode, _setViewMode] = useState<'kanban' | 'list'>('kanban');
src\app\projects\kanban\page.tsx	207	  const getProgressColor = (progress: number) => {	  const _getProgressColor = (progress: number) => {
src\app\projects\page.tsx	43	  FolderOpen,	  FolderOpen as _FolderOpen,
src\app\projects\page.tsx	45	  Building2,	  Building2 as _Building2,
src\app\projects\page.tsx	46	  MapPin,	  MapPin as _MapPin,
src\app\prompts\agents\page.tsx	6	import { Card, CardContent, CardHeader, CardTitle, CardDescription, CardFooter } from '@/components/ui/card';	import { Card, CardContent, CardHeader, CardTitle, CardDescription as _CardDescription, CardFooter } from '@/components/ui/card';
src\app\prompts\agents\page.tsx	10	import { Label } from '@/components/ui/label';	import { Label as _Label } from '@/components/ui/label';
src\app\prompts\agents\page.tsx	18	  DialogFooter,	  DialogFooter as _DialogFooter,
src\app\prompts\agents\page.tsx	38	  Search,	  Search as _Search,
src\app\prompts\agents\page.tsx	46	  Sparkles,	  Sparkles as _Sparkles,
src\app\prompts\agents\page.tsx	50	  UserCheck,	  UserCheck as _UserCheck,
src\app\prompts\categories\page.tsx	5	import { Card, CardContent, CardHeader, CardTitle } from '@/components/ui/card';	import { Card, CardContent, CardHeader as _CardHeader, CardTitle } from '@/components/ui/card';
src\app\prompts\categories\page.tsx	5	import { Card, CardContent, CardHeader as _CardHeader, CardTitle } from '@/components/ui/card';	import { Card, CardContent, CardHeader as _CardHeader, CardTitle as _CardTitle } from '@/components/ui/card';
src\app\prompts\categories\page.tsx	37	  Search,	  Search as _Search,
src\app\prompts\categories\page.tsx	42	  FileText,	  FileText as _FileText,
src\app\prompts\categories\page.tsx	67	  const [treeView, setTreeView] = useState(true);	  const [_treeView, setTreeView] = useState(true);
src\app\prompts\categories\page.tsx	67	  const [_treeView, setTreeView] = useState(true);	  const [_treeView, _setTreeView] = useState(true);
src\app\prompts\generate\page.tsx	19	  History,	  History as _History,
src\app\prompts\generate\page.tsx	20	  Settings,	  Settings as _Settings,
src\app\prompts\generate\page.tsx	66	  const [history, setHistory] = useState<GenerationHistory[]>([]);	  const [_history, setHistory] = useState<GenerationHistory[]>([]);
src\app\prompts\generate\page.tsx	66	  const [_history, setHistory] = useState<GenerationHistory[]>([]);	  const [_history, _setHistory] = useState<GenerationHistory[]>([]);
src\app\prompts\generate\page.tsx	80	  const [showPreview, setShowPreview] = useState(true);	  const [showPreview, _setShowPreview] = useState(true);
src\app\prompts\templates\page.tsx	6	import { Card, CardContent, CardHeader, CardTitle, CardDescription } from '@/components/ui/card';	import { Card, CardContent, CardHeader as _CardHeader, CardTitle, CardDescription } from '@/components/ui/card';
src\app\prompts\templates\page.tsx	6	import { Card, CardContent, CardHeader as _CardHeader, CardTitle, CardDescription } from '@/components/ui/card';	import { Card, CardContent, CardHeader as _CardHeader, CardTitle as _CardTitle, CardDescription } from '@/components/ui/card';
src\app\prompts\templates\page.tsx	6	import { Card, CardContent, CardHeader as _CardHeader, CardTitle as _CardTitle, CardDescription } from '@/components/ui/card';	import { Card, CardContent, CardHeader as _CardHeader, CardTitle as _CardTitle, CardDescription as _CardDescription } from '@/components/ui/card';
src\app\prompts\templates\page.tsx	47	  Filter,	  Filter as _Filter,
src\app\prompts\templates\page.tsx	48	  Tag,	  Tag as _Tag,
src\app\prompts\templates\page.tsx	50	  Code,	  Code as _Code,
src\app\prompts\templates\page.tsx	103	  const router = useRouter();	  const _router = useRouter();
src\app\prompts\templates\page.tsx	104	  const searchParams = useSearchParams();	  const _searchParams = useSearchParams();
src\app\prompts\templates\page.tsx	109	  const [total, setTotal] = useState(0);	  const [_total, setTotal] = useState(0);
src\app\prompts\templates\page.tsx	924	              } catch (e) {	              } catch (_e) {
src\app\quote-analysis\page.tsx	4	import Link from 'next/link';	import _Link from 'next/link';
src\app\quote-analysis\page.tsx	8	import { Input } from '@/components/ui/input';	import { Input as _Input } from '@/components/ui/input';
src\app\quote-analysis\page.tsx	28	  Select,	  Select as _Select,
src\app\quote-analysis\page.tsx	29	  SelectContent,	  SelectContent as _SelectContent,
src\app\quote-analysis\page.tsx	30	  SelectItem,	  SelectItem as _SelectItem,
src\app\quote-analysis\page.tsx	31	  SelectTrigger,	  SelectTrigger as _SelectTrigger,
src\app\quote-analysis\page.tsx	32	  SelectValue,	  SelectValue as _SelectValue,
src\app\quote-analysis\page.tsx	37	  Users,	  Users as _Users,
src\app\quote-analysis\page.tsx	39	  DollarSign,	  DollarSign as _DollarSign,
src\app\quote-analysis\page.tsx	40	  BarChart3,	  BarChart3 as _BarChart3,
src\app\quote-analysis\page.tsx	41	  Lightbulb,	  Lightbulb as _Lightbulb,
src\app\quote-analysis\page.tsx	79	  const router = useRouter();	  const _router = useRouter();
src\app\quote-analysis\page.tsx	116	      const res = await fetch(`/api/quote-analysis/${requestId}`, {	      const _res = await fetch(`/api/quote-analysis/${requestId}`, {
src\app\quotes\page.tsx	3	import { useState, useEffect } from 'react';	import { useState, useEffect as _useEffect } from 'react';
src\app\quotes\page.tsx	7	import { Skeleton } from '@/components/ui/skeleton';	import { Skeleton as _Skeleton } from '@/components/ui/skeleton';
src\app\quotes\page.tsx	17	import { Tabs, TabsContent, TabsList, TabsTrigger } from '@/components/ui/tabs';	import { Tabs as _Tabs, TabsContent, TabsList, TabsTrigger } from '@/components/ui/tabs';
src\app\quotes\page.tsx	17	import { Tabs as _Tabs, TabsContent, TabsList, TabsTrigger } from '@/components/ui/tabs';	import { Tabs as _Tabs, TabsContent as _TabsContent, TabsList, TabsTrigger } from '@/components/ui/tabs';
src\app\quotes\page.tsx	17	import { Tabs as _Tabs, TabsContent as _TabsContent, TabsList, TabsTrigger } from '@/components/ui/tabs';	import { Tabs as _Tabs, TabsContent as _TabsContent, TabsList as _TabsList, TabsTrigger } from '@/components/ui/tabs';
src\app\quotes\page.tsx	17	import { Tabs as _Tabs, TabsContent as _TabsContent, TabsList as _TabsList, TabsTrigger } from '@/components/ui/tabs';	import { Tabs as _Tabs, TabsContent as _TabsContent, TabsList as _TabsList, TabsTrigger as _TabsTrigger } from '@/components/ui/tabs';
src\app\quotes\page.tsx	22	  TrendingDown,	  TrendingDown as _TrendingDown,
src\app\quotes\page.tsx	28	  DollarSign,	  DollarSign as _DollarSign,
src\app\recycle-bin\page.tsx	8	import { Tabs, TabsContent, TabsList, TabsTrigger } from '@/components/ui/tabs';	import { Tabs, TabsContent as _TabsContent, TabsList, TabsTrigger } from '@/components/ui/tabs';
src\app\recycle-bin\page.tsx	30	  DialogDescription,	  DialogDescription as _DialogDescription,
src\app\recycle-bin\page.tsx	45	  Filter,	  Filter as _Filter,
src\app\recycle-bin\page.tsx	46	  Clock,	  Clock as _Clock,
src\app\recycle-bin\page.tsx	92	  const router = useRouter();	  const _router = useRouter();
src\app\recycle-bin\page.tsx	93	  const searchParams = useSearchParams();	  const _searchParams = useSearchParams();
src\app\reports\page.tsx	8	import { Tabs, TabsContent, TabsList, TabsTrigger } from '@/components/ui/tabs';	import { Tabs as _Tabs, TabsContent, TabsList, TabsTrigger } from '@/components/ui/tabs';
src\app\reports\page.tsx	8	import { Tabs as _Tabs, TabsContent, TabsList, TabsTrigger } from '@/components/ui/tabs';	import { Tabs as _Tabs, TabsContent as _TabsContent, TabsList, TabsTrigger } from '@/components/ui/tabs';
src\app\reports\page.tsx	8	import { Tabs as _Tabs, TabsContent as _TabsContent, TabsList, TabsTrigger } from '@/components/ui/tabs';	import { Tabs as _Tabs, TabsContent as _TabsContent, TabsList as _TabsList, TabsTrigger } from '@/components/ui/tabs';
src\app\reports\page.tsx	8	import { Tabs as _Tabs, TabsContent as _TabsContent, TabsList as _TabsList, TabsTrigger } from '@/components/ui/tabs';	import { Tabs as _Tabs, TabsContent as _TabsContent, TabsList as _TabsList, TabsTrigger as _TabsTrigger } from '@/components/ui/tabs';
src\app\reports\page.tsx	44	  TrendingDown,	  TrendingDown as _TrendingDown,
src\app\reports\page.tsx	49	  Users,	  Users as _Users,
src\app\reports\page.tsx	52	  Calendar,	  Calendar as _Calendar,
src\app\reports\page.tsx	54	  PieChartIcon,	  PieChartIcon as _PieChartIcon,
src\app\reports\page.tsx	179	  const progressPieData = reportData ? [	  const _progressPieData = reportData ? [
src\app\reports\page.tsx	187	  const docPieData = reportData ? [	  const _docPieData = reportData ? [
src\app\review\config\page.tsx	41	  Trash2,	  Trash2 as _Trash2,
src\app\review\config\page.tsx	45	  AlertCircle,	  AlertCircle as _AlertCircle,
src\app\schemes\[id]\edit\page.tsx	8	import { Card, CardContent, CardHeader, CardTitle } from '@/components/ui/card';	import { Card as _Card, CardContent, CardHeader, CardTitle } from '@/components/ui/card';
src\app\schemes\[id]\edit\page.tsx	8	import { Card as _Card, CardContent, CardHeader, CardTitle } from '@/components/ui/card';	import { Card as _Card, CardContent as _CardContent, CardHeader, CardTitle } from '@/components/ui/card';
src\app\schemes\[id]\edit\page.tsx	8	import { Card as _Card, CardContent as _CardContent, CardHeader, CardTitle } from '@/components/ui/card';	import { Card as _Card, CardContent as _CardContent, CardHeader as _CardHeader, CardTitle } from '@/components/ui/card';
